Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A0A0E3D3V4	A0A0E3D3V4_LACRH	unreviewed	Acyl carrier protein (ACP)	acpP BN934_02006 NP51_01280 PY63_12055 PY66_03570 PY91_09790	Lactobacillus rhamnosus	80
A0A0E3CKX9	A0A0E3CKX9_LACRH	unreviewed	Filamentation induced by cAMP protein fic (Uncharacterized protein)	BN934_02546 PY63_07660	Lactobacillus rhamnosus	232
A0A0D6U574	A0A0D6U574_LACRH	unreviewed	Extracellular protein, membrane-bound (Uncharacterized protein)	BN934_02575 NP51_11420 PY63_13620 PY66_00465 PY91_02775	Lactobacillus rhamnosus	118
A0A0D6UAF6	A0A0D6UAF6_LACRH	unreviewed	ABC transporter ATP-binding protein (Macrolide ABC transporter ATP-binding protein)	psaA_1 BN934_00672 NP51_04890 PY63_00970 PY66_07110	Lactobacillus rhamnosus	234
A0A0E3CMR6	A0A0E3CMR6_LACRH	unreviewed	General stress protein (Methyl-accepting chemotaxis-like protein)	BN934_00057 NP51_09720 PY63_03200 PY66_10100 PY91_13060	Lactobacillus rhamnosus	142
A0A0E3CNL9	A0A0E3CNL9_LACRH	unreviewed	PadR family transcriptional regulator	ydaF_1 BN934_00134 NP51_00265 PY63_00095 PY66_12685 PY91_06650	Lactobacillus rhamnosus	112
A0A171J3G0	A0A171J3G0_LACRH	unreviewed	Nucleoside-diphosphate sugar epimerase (Nucleoside-diphosphate-sugar epimerase)	ylbE BN934_00223 PY66_02945 PY91_07030	Lactobacillus rhamnosus	207
A0A0E3CKR8	A0A0E3CKR8_LACRH	unreviewed	2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	kduD BN934_01026 NP51_10120 PY63_02665	Lactobacillus rhamnosus	274
A0A0D6UAC8	A0A0D6UAC8_LACRH	unreviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD BN934_00452 NP51_05630 PY63_03570 PY66_05170	Lactobacillus rhamnosus	130
A0A0E3CN48	A0A0E3CN48_LACRH	unreviewed	GNAT family acetyltransferase (GNAT family acetyltransferase protein)	BN934_02370 PY63_08955	Lactobacillus rhamnosus	215
A0A0E3D1F2	A0A0E3D1F2_LACRH	unreviewed	Membrane protein (Nicotinamide mononucleotide transporter)	BN934_02394 PY63_12630 PY66_10330 PY91_08225	Lactobacillus rhamnosus	243
A0A0D6UCB2	A0A0D6UCB2_LACRH	unreviewed	Uncharacterized protein	BN934_02079 NP51_02235 PY91_13450	Lactobacillus rhamnosus	59
A0A0D6UDU8	A0A0D6UDU8_LACRH	unreviewed	Pyruvate formate-lyase-activating enzyme (EC 1.97.1.4)	pflA BN934_02202 NP51_02830 PY66_10940 PY91_07825	Lactobacillus rhamnosus	283
A0A0E3CPA8	A0A0E3CPA8_LACRH	unreviewed	Folate transporter (Integral membrane protein)	BN934_01438 NP51_11000 PY63_12240 PY66_04710 PY91_10495	Lactobacillus rhamnosus	172
A0A0J6UPB2	A0A0J6UPB2_LACRH	unreviewed	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA BN934_02695 NP51_03430 PY63_06900 PY66_01050 PY91_02255	Lactobacillus rhamnosus	251
J7M7G2	J7M7G2_LACRH	unreviewed	30S ribosomal protein S17	rpsQ BN934_01223 NP51_06760 PY63_02205 PY66_06370 PY91_09120	Lactobacillus rhamnosus	87
A0A0E3CL32	A0A0E3CL32_LACRH	unreviewed	CsbD-like superfamily protein (Uncharacterized protein)	BN934_01341 NP51_09915 PY66_09400 PY91_06345	Lactobacillus rhamnosus	69
A0A0E3D1J4	A0A0E3D1J4_LACRH	unreviewed	Membrane protein	ywzB BN934_02427 NP51_09260 PY63_04565 PY66_10495	Lactobacillus rhamnosus	78
A0A0E3CPW9	A0A0E3CPW9_LACRH	unreviewed	Arsenate reductase	arsC BN934_00962 PY63_01600	Lactobacillus rhamnosus	136
A0A0J6Y064	A0A0J6Y064_LACRH	unreviewed	Adenylate cyclase	BN934_02764 PY63_03950	Lactobacillus rhamnosus	197
A0A0D6UB81	A0A0D6UB81_LACRH	unreviewed	Fructose 1,6-bisphosphatase (Fructose-1,6-bisphosphatase)	suhB BN934_02296 NP51_04420 PY63_10220 PY66_01720	Lactobacillus rhamnosus	264
A0A0D6UD47	A0A0D6UD47_LACRH	unreviewed	50S ribosomal protein L27	rpmA BN934_01976 NP51_01430 PY63_12130 PY66_03720 PY91_09940	Lactobacillus rhamnosus	96
A0A171J992	A0A171J992_LACRH	unreviewed	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig BN934_02274 PY91_08175	Lactobacillus rhamnosus	446
A0A0E3D1S0	A0A0E3D1S0_LACRH	unreviewed	MarR family transcriptional regulator	BN934_00102 PY63_03425 PY66_11575 PY91_11110	Lactobacillus rhamnosus	152
A0A0J6V8Q3	A0A0J6V8Q3_LACRH	unreviewed	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	guaB BN934_00562 NP51_05870 PY63_05605 PY66_06665 PY91_00220	Lactobacillus rhamnosus	495
A0A0D6U4F9	A0A0D6U4F9_LACRH	unreviewed	Uncharacterized protein	BN934_01802 NP51_12760 PY63_06575 PY66_13310 PY91_11250	Lactobacillus rhamnosus	124
A0A171J3I0	A0A171J3I0_LACRH	unreviewed	ABC transporter permease (Uncharacterized protein)	BN934_00243 PY66_03045	Lactobacillus rhamnosus	572
A0A0D6U587	A0A0D6U587_LACRH	unreviewed	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-)	gatC_2 gatC BN934_02591 NP51_11495 PY63_06190 PY66_00540 PY91_02700	Lactobacillus rhamnosus	98
A0A0J6UI12	A0A0J6UI12_LACRH	unreviewed	Cobalamin synthesis protein (Extracellular protein)	BN934_01492 PY63_11095	Lactobacillus rhamnosus	141
A0A0E3D1P5	A0A0E3D1P5_LACRH	unreviewed	Membrane protein (Permease)	BN934_00128 NP51_00235 PY63_00065 PY66_12715 PY91_10980	Lactobacillus rhamnosus	388
A0A171JAL6	A0A171JAL6_LACRH	unreviewed	Magnesium and cobalt transporter (Magnesium transporter)	corA BN934_02753 PY63_03895 PY91_01945	Lactobacillus rhamnosus	315
A0A0E3CQ07	A0A0E3CQ07_LACRH	unreviewed	ABC transporter permease (ABC-type sugar transport system, permease component)	BN934_02678 PY63_06985 PY66_00965 PY91_02375	Lactobacillus rhamnosus	297
A0A0E3D3B8	A0A0E3D3B8_LACRH	unreviewed	Elongation factor G (EF-G)	fusA BN934_01209 PY63_02275 PY66_13200	Lactobacillus rhamnosus	700
A0A0E3CN02	A0A0E3CN02_LACRH	unreviewed	Integral membrane protein (Membrane protein)	BN934_01162 PY63_05830	Lactobacillus rhamnosus	224
A0A171J8Z7	A0A171J8Z7_LACRH	unreviewed	ATP phosphoribosyltransferase regulatory subunit	hisZ BN934_02179 PY63_13360	Lactobacillus rhamnosus	382
A0A0E3CR06	A0A0E3CR06_LACRH	unreviewed	Regulatory protein Spx	spxA BN934_01875 NP51_01920 PY63_10525 PY66_12300 PY91_10335	Lactobacillus rhamnosus	132
A0A0D6U4A5	A0A0D6U4A5_LACRH	unreviewed	Mannitol/fructose-specific phosphotransferase system IIA protein (PTS system mannitol-specific transporter subunit IIA)	BN934_00841 NP51_12995 PY63_07295 PY66_02780 PY91_01460	Lactobacillus rhamnosus	147
A0A0E3CLZ7	A0A0E3CLZ7_LACRH	unreviewed	DeoC/FbaB family aldolase (Phospho-2-dehydro-3-deoxyheptonate aldolase)	fbaB BN934_00419 PY63_03730	Lactobacillus rhamnosus	265
A0A171JAA6	A0A171JAA6_LACRH	unreviewed	Competence protein ComGC (Type II secretory pathway/competence component/Competence protein ComGC)	gomGC BN934_02642 PY63_13165 PY66_00790 PY91_02545	Lactobacillus rhamnosus	106
A0A171J7I5	A0A171J7I5_LACRH	unreviewed	Amino acid ABC transporter periplasmic protein (Glutamine ABC transporter substrate-binding protein)	BN934_01659 PY91_03355	Lactobacillus rhamnosus	274
A0A171J7T5	A0A171J7T5_LACRH	unreviewed	Citrate lyase beta subunit (Citrate lyase subunit beta)	BN934_01760 PY91_10865	Lactobacillus rhamnosus	292
A0A171J958	A0A171J958_LACRH	unreviewed	Uncharacterized protein	BN934_02240 PY63_08015	Lactobacillus rhamnosus	329
A0A0E3CPC6	A0A0E3CPC6_LACRH	unreviewed	Phosphoribosylpyrophosphate synthetase (Ribose-phosphate pyrophosphokinase) (EC 2.7.6.1)	BN934_00845 NP51_13015 PY63_07275 PY66_02760	Lactobacillus rhamnosus	306
A0A0E3CKV0	A0A0E3CKV0_LACRH	unreviewed	Uncharacterized protein	BN934_00810 PY63_09055	Lactobacillus rhamnosus	68
A0A171J7G8	A0A171J7G8_LACRH	unreviewed	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA BN934_01642 PY91_03425	Lactobacillus rhamnosus	481
A0A171JA37	A0A171JA37_LACRH	unreviewed	PTS mannose transporter subunit IIA (PTS system transporter subunit IIA)	pts_14 BN934_02572 PY63_13605 PY91_02790	Lactobacillus rhamnosus	109
A0A0J6TI70	A0A0J6TI70_LACRH	unreviewed	5-methylcytosine-specific restriction enzyme MRR (MFS transporter)	BN934_01828 NP51_02145 PY63_06440 PY66_08575	Lactobacillus rhamnosus	187
A0A0E3CPE7	A0A0E3CPE7_LACRH	unreviewed	30S ribosomal protein S5	rpsE BN934_01230 NP51_06795 PY63_02170 PY66_06335 PY91_09155	Lactobacillus rhamnosus	167
A0A171J7Q1	A0A171J7Q1_LACRH	unreviewed	Peptide ABC transporter permease	oppB BN934_01726 PY91_10720	Lactobacillus rhamnosus	316
A0A171J6Z5	A0A171J6Z5_LACRH	unreviewed	Uncharacterized protein	BN934_01469 PY91_13310	Lactobacillus rhamnosus	121
A0A0E3CKV3	A0A0E3CKV3_LACRH	unreviewed	ATP synthase subunit c	BN934_02436 NP51_09220 PY63_04530 PY66_10535	Lactobacillus rhamnosus	70
A0A0E3CQU4	A0A0E3CQU4_LACRH	unreviewed	Integral membrane protein (Membrane protein)	BN934_02705 PY63_08725 PY91_02170	Lactobacillus rhamnosus	179
A0A0E3CQQ6	A0A0E3CQQ6_LACRH	unreviewed	Branched-chain amino acid ABC transporter (Branched-chain amino acid transport protein azlD)	BN934_00755 NP51_08430 PY63_09750 PY66_04440 PY91_01095	Lactobacillus rhamnosus	109
A0A0D6U8T6	A0A0D6U8T6_LACRH	unreviewed	UPF0721 transmembrane protein	BN934_00767 NP51_08375 PY63_09805 PY66_04505 PY91_01145	Lactobacillus rhamnosus	257
A0A0E3CNT7	A0A0E3CNT7_LACRH	unreviewed	Thioredoxin	BN934_00069 NP51_09785 PY63_03265 PY66_10165 PY91_13130	Lactobacillus rhamnosus	103
A0A0D6UC07	A0A0D6UC07_LACRH	unreviewed	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit)	glyQ BN934_02112 NP51_02400 PY66_08160	Lactobacillus rhamnosus	298
A0A171J5Z1	A0A171J5Z1_LACRH	unreviewed	Exopolyphosphatase	BN934_01108 PY63_06085 PY91_07315	Lactobacillus rhamnosus	313
A0A0J6XR26	A0A0J6XR26_LACRH	unreviewed	Asparagine synthase (Asparagine synthase (Glutamine-hydrolyzing))	BN934_01508 NP51_07580 PY66_05920	Lactobacillus rhamnosus	634
A0A0E3CMI2	A0A0E3CMI2_LACRH	unreviewed	Membrane protein (Transglycosylase-associated protein)	ytgB BN934_02610 PY63_06280 PY66_00635 PY91_01490	Lactobacillus rhamnosus	82
A0A0E3CZG1	A0A0E3CZG1_LACRH	unreviewed	Cobalt ABC transporter permease	BN934_00463 PY63_03520 PY66_05220	Lactobacillus rhamnosus	188
A0A0J6V8K2	A0A0J6V8K2_LACRH	unreviewed	ABC transporter ATP-binding protein (ABC transporter ATPase)	ABC-NDB BN934_01731 PY63_12980	Lactobacillus rhamnosus	234
A0A171J7T1	A0A171J7T1_LACRH	unreviewed	Glutaconyl-CoA decarboxylase subunit beta (Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit)	BN934_01756 PY66_07705 PY91_10845	Lactobacillus rhamnosus	374
A0A0D6U553	A0A0D6U553_LACRH	unreviewed	50S ribosomal protein L31 type B	rpmE2 BN934_01160 NP51_13490 PY63_05840 PY66_13615 PY91_07560	Lactobacillus rhamnosus	83
A0A0D6UAX5	A0A0D6UAX5_LACRH	unreviewed	Cell division protein FtsL	ftsL BN934_02339 NP51_04205 PY63_10910 PY66_01935 PY91_08535	Lactobacillus rhamnosus	121
A0A0E3CQU9	A0A0E3CQU9_LACRH	unreviewed	Ribonuclease Y (RNase Y) (EC 3.1.-.-)	rny BN934_02739 NP51_03645 PY63_12890 PY66_01265 PY91_02005	Lactobacillus rhamnosus	523
A0A0D6U9N0	A0A0D6U9N0_LACRH	unreviewed	Cellobiose-specific PTS system IIA component (PTS cellobiose transporter subunit IIA)	BN934_00903 NP51_07370 PY63_01875 PY66_02505 PY91_05925	Lactobacillus rhamnosus	109
A0A0D6UF92	A0A0D6UF92_LACRH	unreviewed	HxlR family transcriptional regulator	ydeP BN934_00277 NP51_00915 PY63_04910 PY66_03210 PY91_04380	Lactobacillus rhamnosus	114
A0A0D6U4D9	A0A0D6U4D9_LACRH	unreviewed	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS BN934_01167 NP51_13525 PY63_05805	Lactobacillus rhamnosus	124
M5AB29	M5AB29_LACRH	unreviewed	Site-determining protein	minD BN934_02348 PY91_08485	Lactobacillus rhamnosus	265
A0A0D6UCP2	A0A0D6UCP2_LACRH	unreviewed	HD superfamily hydrolase (Hydrolase)	BN934_01945 NP51_01580 PY63_05160 PY66_03870 PY91_13730	Lactobacillus rhamnosus	167
A0A0E3CNM9	A0A0E3CNM9_LACRH	unreviewed	Ferredoxin	fer BN934_02241 NP51_03025 PY63_08020 PY66_01450 PY91_08015	Lactobacillus rhamnosus	85
A0A0D6U9V5	A0A0D6U9V5_LACRH	unreviewed	MFS superfamily sugar specific permease (Major facilitator transporter)	BN934_00392 NP51_05380 PY91_04820	Lactobacillus rhamnosus	459
A0A171J5X1	A0A171J5X1_LACRH	unreviewed	Metal-dependent membrane protease (Protease)	BN934_01088 PY66_12945	Lactobacillus rhamnosus	215
A0A171J7K1	A0A171J7K1_LACRH	unreviewed	Histidine kinase (Polysaccharide biosynthesis protein)	BN934_01675 PY91_03275	Lactobacillus rhamnosus	479
A0A0E3D3T8	A0A0E3D3T8_LACRH	unreviewed	Uncharacterized protein	BN934_00301 PY63_04810	Lactobacillus rhamnosus	82
A0A0J6W9P5	A0A0J6W9P5_LACRH	unreviewed	GNAT family acetyltransferase	elaA BN934_01843 NP51_02075 PY66_08500 PY91_12820	Lactobacillus rhamnosus	144
A0A171J922	A0A171J922_LACRH	unreviewed	DNA topoisomerase 4 subunit A (EC 5.99.1.3) (Topoisomerase IV subunit A)	parC BN934_02204 PY63_11475	Lactobacillus rhamnosus	813
A0A0E3D3V9	A0A0E3D3V9_LACRH	unreviewed	Bifunctional protein FolD	folD BN934_01981 NP51_01405 PY63_12105	Lactobacillus rhamnosus	283
A0A0D6U5B9	A0A0D6U5B9_LACRH	unreviewed	Nucleotide pyrophosphohydrolase (Pyrophosphatase)	BN934_02271 NP51_11815 PY66_01595 PY91_08160	Lactobacillus rhamnosus	96
A0A171J647	A0A171J647_LACRH	unreviewed	Uncharacterized protein	BN934_01164 PY91_07580	Lactobacillus rhamnosus	254
A0A171JAI3	A0A171JAI3_LACRH	unreviewed	Small extracellular protein (Uncharacterized protein)	BN934_02720 PY91_02100	Lactobacillus rhamnosus	86
A0A0E3CQ28	A0A0E3CQ28_LACRH	unreviewed	MarR family transcriptional regulator	BN934_01544 NP51_07805 PY63_11575	Lactobacillus rhamnosus	137
A0A171J8H6	A0A171J8H6_LACRH	unreviewed	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component (Peptide ABC transporter ATPase)	BN934_02007 PY91_09785	Lactobacillus rhamnosus	340
A0A0E3CLY7	A0A0E3CLY7_LACRH	unreviewed	Mannose-specific PTS system component IID (PTS system mannose family transporter subunit IID)	BN934_00893 NP51_07420 PY63_12560 PY66_02555	Lactobacillus rhamnosus	303
A0A0E3CPX5	A0A0E3CPX5_LACRH	unreviewed	Cell division ATPase (Cell division protein FtsE)	BN934_02732 NP51_03610 PY63_08835 PY66_01230 PY91_02040	Lactobacillus rhamnosus	228
A0A171J6C2	A0A171J6C2_LACRH	unreviewed	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	truA BN934_01245 PY66_06265	Lactobacillus rhamnosus	247
A0A0E3CQS2	A0A0E3CQS2_LACRH	unreviewed	Elongation factor P (EF-P)	efp BN934_01978 NP51_01420 PY63_12120 PY66_03710 PY91_09930	Lactobacillus rhamnosus	187
A0A0J6TYX1	A0A0J6TYX1_LACRH	unreviewed	Uncharacterized protein	BN934_01499 NP51_07535 PY91_04140	Lactobacillus rhamnosus	214
A0A171J4E0	A0A171J4E0_LACRH	unreviewed	Aspartate racemase	racD BN934_00555 PY91_00185	Lactobacillus rhamnosus	250
A0A0E3CR66	A0A0E3CR66_LACRH	unreviewed	NADPH:quinone reductase (NADPH:quinone reductase-like Zn-dependent oxidoreductase)	gor_2 BN934_00210 PY63_00440	Lactobacillus rhamnosus	303
A0A171J522	A0A171J522_LACRH	unreviewed	Deoxyribose-phosphate aldolase	BN934_00787 PY66_11460	Lactobacillus rhamnosus	30
A0A0D6UBI8	A0A0D6UBI8_LACRH	unreviewed	Membrane protein	ossG BN934_02651 NP51_03215 PY63_07110 PY66_00835 PY91_02500	Lactobacillus rhamnosus	285
A0A171J330	A0A171J330_LACRH	unreviewed	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	ruvB BN934_00090 PY66_11515	Lactobacillus rhamnosus	348
A0A171J7L9	A0A171J7L9_LACRH	unreviewed	Tat pathway signal protein (Uncharacterized protein)	BN934_01693 PY63_03085 PY66_09190 PY91_03185	Lactobacillus rhamnosus	65
A0A0E3D2D3	A0A0E3D2D3_LACRH	unreviewed	Citrate lyase acyl carrier protein (Citrate lyase gamma chain)	citD BN934_01759 PY63_09425 PY66_07720 PY91_10860	Lactobacillus rhamnosus	101
A0A171J6I7	A0A171J6I7_LACRH	unreviewed	Uncharacterized protein	BN934_01310 PY91_06460	Lactobacillus rhamnosus	117
A0A0E3CP07	A0A0E3CP07_LACRH	unreviewed	Transcriptional regulator (Uncharacterized protein)	BN934_01000 NP51_09445 PY66_08845 PY91_05410	Lactobacillus rhamnosus	119
A0A0E3CP94	A0A0E3CP94_LACRH	unreviewed	Uncharacterized protein	BN934_01149 PY63_05880 PY66_07200 PY91_07515	Lactobacillus rhamnosus	148
A0A0E3CL64	A0A0E3CL64_LACRH	unreviewed	Uncharacterized protein	BN934_01710 PY63_11840 PY91_13005	Lactobacillus rhamnosus	69
A0A171J5Q0	A0A171J5Q0_LACRH	unreviewed	PTS fructose transporter subunit IIA (PTS system fructose-specific transporter subunit IIA)	BN934_01016 PY66_08760	Lactobacillus rhamnosus	135
A0A171J9N4	A0A171J9N4_LACRH	unreviewed	ABC-type metal ion transport system, permease component (Methionine ABC transporter permease)	BN934_02416 PY66_10435 PY91_09450	Lactobacillus rhamnosus	229
A0A171J957	A0A171J957_LACRH	unreviewed	ATP-dependent DNA helicase RecQ	recQ_1 BN934_02239 PY63_08010	Lactobacillus rhamnosus	469
A0A0D6U5V5	A0A0D6U5V5_LACRH	unreviewed	Uncharacterized protein	BN934_01432 NP51_11030 PY63_12270 PY66_04680 PY91_10525	Lactobacillus rhamnosus	109
A0A171JA11	A0A171JA11_LACRH	unreviewed	Bactoprenol glucosyl transferase (Glycosyl transferase, group 2)	gtrB_2 BN934_02545 PY63_07665	Lactobacillus rhamnosus	309
A0A0E3D3F0	A0A0E3D3F0_LACRH	unreviewed	NUDIX hydrolase (Phosphohydrolase, MutT/nudix family)	nudF_1 BN934_02177 PY63_13350 PY66_10865 PY91_07715	Lactobacillus rhamnosus	186
A0A0J6WNA0	A0A0J6WNA0_LACRH	unreviewed	Putative pyruvate, phosphate dikinase regulatory protein (PPDK regulatory protein) (EC 2.7.11.32) (EC 2.7.4.27)	BN934_02100 NP51_02335 PY63_12750 PY66_13920 PY91_13920	Lactobacillus rhamnosus	276
A0A171J7K3	A0A171J7K3_LACRH	unreviewed	Exopolysaccharide synthesis protein (Sugar tyrosine-protein kinase)	BN934_01677 PY91_03265	Lactobacillus rhamnosus	212
A0A0D6UF31	A0A0D6UF31_LACRH	unreviewed	Serine/threonine transporter SstT (Na(+)/serine-threonine symporter)	sstT BN934_00231 NP51_00710 PY66_02985	Lactobacillus rhamnosus	428
A0A0E3CM31	A0A0E3CM31_LACRH	unreviewed	Heptaprenyl diphosphate synthase (Heptaprenyl diphosphate synthase component I)	BN934_01384 NP51_11670 PY63_10030 PY66_09885 PY91_06100	Lactobacillus rhamnosus	195
A0A0D6U7V7	A0A0D6U7V7_LACRH	unreviewed	Amino acid permease (Azaleucine resistance protein AzlC)	yqfD BN934_00756 NP51_08425 PY63_09755	Lactobacillus rhamnosus	236
A0A0D6U733	A0A0D6U733_LACRH	unreviewed	Universal stress protein	usp BN934_02405 NP51_09365 PY63_04680 PY91_09400	Lactobacillus rhamnosus	166
A0A0E3D2Q7	A0A0E3D2Q7_LACRH	unreviewed	Alpha/beta fold family hydrolase (Alpha/beta hydrolase)	BN934_00844 NP51_13010 PY66_02765 PY91_01475	Lactobacillus rhamnosus	309
A0A0J6V7T7	A0A0J6V7T7_LACRH	unreviewed	ABC-type polar amino acid transport system, ATPase component (Amino acid ABC transporter ATP-binding protein)	BN934_01657 NP51_06540 PY63_02910 PY66_12990 PY91_03360	Lactobacillus rhamnosus	245
A0A0E3D3E6	A0A0E3D3E6_LACRH	unreviewed	Inorganic pyrophosphatase/exopolyphosphatase (Pyrophosphatase)	BN934_02200 PY63_11495 PY66_10930 PY91_07815	Lactobacillus rhamnosus	310
A0A171J6P9	A0A171J6P9_LACRH	unreviewed	RNA methyltransferase (rRNA methyltransferase)	rlmB BN934_01372 PY63_09965 PY91_06180	Lactobacillus rhamnosus	260
A0A0D6UDB8	A0A0D6UDB8_LACRH	unreviewed	Integral membrane protein (Membrane protein)	BN934_00092 NP51_00055 PY66_11525	Lactobacillus rhamnosus	198
A0A0E3CMW7	A0A0E3CMW7_LACRH	unreviewed	Phosphatidylglycerophosphatase (Phosphatidylglycerophosphatase A)	BN934_00036 NP51_09625 PY63_03105 PY66_10005	Lactobacillus rhamnosus	167
A0A0E3CR49	A0A0E3CR49_LACRH	unreviewed	Galactose-6-phosphate isomerase (EC 5.3.1.26) (Galactose-6-phosphate isomerase subunit LacB)	BN934_00176 NP51_00440 PY63_00285 PY66_09660 PY91_06840	Lactobacillus rhamnosus	172
A0A171J5D6	A0A171J5D6_LACRH	unreviewed	GNAT family acetyltransferase	wecD_5 BN934_00902 PY63_01880 PY66_02510	Lactobacillus rhamnosus	183
A0A171J8I1	A0A171J8I1_LACRH	unreviewed	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III)	rnc BN934_02012 PY63_12025 PY66_03540 PY91_09760	Lactobacillus rhamnosus	231
A0A0D6U9B8	A0A0D6U9B8_LACRH	unreviewed	Flavodoxin	fldA BN934_00587 NP51_05990 PY66_06785	Lactobacillus rhamnosus	155
A0A0D6U642	A0A0D6U642_LACRH	unreviewed	Cation transporter (Co/Zn/Cd efflux system component)	BN934_01135 NP51_11945 PY63_05950 PY66_07270 PY91_07445	Lactobacillus rhamnosus	292
A0A0D6U754	A0A0D6U754_LACRH	unreviewed	Membrane protein	BN934_01069 NP51_08775 PY63_02380 PY66_11660 PY91_11995	Lactobacillus rhamnosus	233
A0A171J9F5	A0A171J9F5_LACRH	unreviewed	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY BN934_02337 PY63_10900 PY66_01925	Lactobacillus rhamnosus	321
A0A0D6U6J0	A0A0D6U6J0_LACRH	unreviewed	Catabolite control protein A	BN934_00053 NP51_09700 PY63_03180 PY66_10080 PY91_13290	Lactobacillus rhamnosus	333
A0A0D6UBQ1	A0A0D6UBQ1_LACRH	unreviewed	HPr kinase/phosphorylase (HPrK/P) (EC 2.7.11.-) (EC 2.7.4.-) (HPr(Ser) kinase/phosphorylase)	hprK BN934_02718 NP51_03540 PY63_08765 PY66_01160 PY91_02110	Lactobacillus rhamnosus	319
A0A0E3CQD0	A0A0E3CQD0_LACRH	unreviewed	GTPase Der (GTP-binding protein EngA)	engA der BN934_02235 NP51_02995 PY63_07990 PY91_07985	Lactobacillus rhamnosus	435
A0A0E3D2N5	A0A0E3D2N5_LACRH	unreviewed	Bacterial membrane flanked domain protein (Membrane protein)	BN934_00873 NP51_12050 PY63_07140 PY66_02645 PY91_01735	Lactobacillus rhamnosus	156
A0A0J6TM63	A0A0J6TM63_LACRH	unreviewed	Segregation and condensation protein A	scpA BN934_02245 PY91_08035	Lactobacillus rhamnosus	241
A0A0E3CQ74	A0A0E3CQ74_LACRH	unreviewed	PTS glucitol transporter subunit IIA (PTS system sugar-specific transporter subunit II)	PTS-EII_1 BN934_00183 PY63_00320 PY66_09695	Lactobacillus rhamnosus	483
A0A0E3CQ12	A0A0E3CQ12_LACRH	unreviewed	Membrane protein	BN934_01003 PY63_01330	Lactobacillus rhamnosus	231
A0A0E3CRS6	A0A0E3CRS6_LACRH	unreviewed	Transcription elongation factor GreA (Transcript cleavage factor GreA)	greA BN934_01951 NP51_01550 PY63_05130 PY66_03840 PY91_10060	Lactobacillus rhamnosus	156
J7M7G5	J7M7G5_LACRH	unreviewed	50S ribosomal protein L18	rplR BN934_01229 NP51_06790 PY63_02175 PY91_09150	Lactobacillus rhamnosus	119
A0A0D6U8S0	A0A0D6U8S0_LACRH	unreviewed	30S ribosomal protein S18	rpsR BN934_00783 NP51_08295 PY63_09160 PY66_11480 PY91_01230	Lactobacillus rhamnosus	78
A0A0J6TE28	A0A0J6TE28_LACRH	unreviewed	Heat-inducible transcription repressor HrcA	hrcA BN934_02053 NP51_12245 PY66_07980 PY91_13775	Lactobacillus rhamnosus	348
A0A0E3CQR8	A0A0E3CQR8_LACRH	unreviewed	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit)	xseB BN934_01983 NP51_01395 PY63_12095 PY66_03685	Lactobacillus rhamnosus	75
A0A171JAD2	A0A171JAD2_LACRH	unreviewed	DNA polymerase III subunit alpha (DNA polymerase III, epsilon subunit related 3'-5' exonuclease)	BN934_02668 PY63_07035 PY66_00915 PY91_02425	Lactobacillus rhamnosus	180
A0A0E3D205	A0A0E3D205_LACRH	unreviewed	Glycerol uptake facilitator related permease (Major Intrinsic protein family) (Glycerol uptake permease)	BN934_00061 NP51_09740 PY91_13085	Lactobacillus rhamnosus	243
A0A171J617	A0A171J617_LACRH	unreviewed	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	ipk ispE BN934_01134 PY91_07440	Lactobacillus rhamnosus	292
A0A0D6U8U6	A0A0D6U8U6_LACRH	unreviewed	ArsR family transcriptional regulator	czrA BN934_01279 NP51_07040 PY63_01925 PY66_06090 PY91_06595	Lactobacillus rhamnosus	110
